"","ID","year","Country.Name","region","E.Government.Rank","E.Government.Index","E.Participation.Index","Online.Service.Index","Human.Capital.Index","ps_2020","Country Name","electicity","FDI","mobile","urban","GDP_per","corruption","rule_of_law","pol_stab","accountability","effectiveness","reg_qual","young_population","pop_dens","internet_users"
"22","BLZ",2020,"Belize ","Americas",136,0.4548,0.2976,0.2647,0.6919,NA,"Belize",NA,-0.1919857,NA,-0.6464335,NA,0.5117432,-0.5378277,-0.7596992,46.025,0.5281408,4435.62115419432,65.79214743,17.43187199,NA
"23","BOL",2020,"Bolivia ","Americas",97,0.6129,0.5952,0.5824,0.7379,-0.0376506119318951,"Bolivia",NA,-0.7563663,NA,-0.5620455,101.1250044,-0.4676746,-1.023997,-1.151606,70.123,-0.0706577,3143.04549424189,62.3098425,10.77543524,47.47481911
"24","BRA",2020,"Brazil ","Americas",54,0.7677,0.9048,0.8706,0.7803,0.165268554572574,"Brazil",NA,-0.3424238,NA,-0.4470313,96.83635,-0.4216979,-0.1616535,-0.1758137,87.073,0.2610505,6796.84454227877,69.69852622,25.43142481,73.91244005
"25","BRB",2020,"Barbados ","Americas",62,0.7279,0.5952,0.5765,0.8549,0.5793805,"Barbados",NA,1.22592,NA,0.4893115,NA,1.129196,0.4801968,0.3377488,31.191,1.131755,15191.1640353411,66.53745107,668.3046512,NA
"26","BRN",2020,"Brunei Darussalam ","Asia",60,0.7389,0.5476,0.6353,0.7605,NA,"Brunei Darussalam",NA,1.28122,NA,1.438427,120.401665,1.123706,0.9141998,0.9311345,78.25,-0.9322214,27466.3396414199,72.10586108,83.01385199,95
"27","BTN",2020,"Bhutan ","Asia",103,0.5777,0.631,0.6824,0.5139,0.175138576570129,"Bhutan",NA,1.648439,NA,0.3731863,96.56937201,1.021578,-0.3105174,0.5941438,42.316,0.1519855,3122.37606234724,68.900789,20.23104352,NA
"28","BWA",2020,"Botswana ","Africa",115,0.5383,0.369,0.3647,0.6911,-0.1880093,"Botswana",NA,0.6290125,NA,0.2567992,162.3990114,1.088047,0.4159909,0.4405316,70.877,0.4944413,6710.990411266,62.08408051,4.149462707,61
"29","CAF",2020,"Central African Republic ","Africa",190,0.1404,0.1429,0.1294,0.2539,-0.430781898785181,"Central African Republic",NA,-1.28198,NA,-1.689749,NA,-2.178489,-1.537033,-1.711812,42.198,-1.273128,476.851112719857,53.66014551,7.752679059,NA
"30","CAN",2020,"Canada ","Americas",28,0.842,0.9405,0.8412,0.9029,0.0265751910593278,"Canada",NA,1.597707,NA,1.644323,95.63052761,1.109246,1.595805,1.655119,81.562,1.476175,43241.6178282827,66.12038624,4.239011376,96.5
"31","CHE",2020,"Switzerland ","Europe",16,0.8907,0.9048,0.8294,0.8946,0.338790273628461,"Switzerland",NA,2.078857,NA,2.020098,125.9442642,1.191969,1.590316,1.828168,73.915,1.541333,86601.5564126289,65.94382747,218.5668955,93.14608695
"32","CHL",2020,"Chile ","Americas",34,0.8259,0.8571,0.8529,0.8643,0.747509,"Chile",NA,1.146561,NA,0.9887357,131.1361447,0.0706187,1.052093,1.067767,87.727,1.016067,13231.7042069383,68.51861413,25.71000172,NA
"33","CHN",2020,"China ","Asia",45,0.7948,0.9643,0.9059,0.7396,0.616983602764168,"China",NA,-0.0658865,NA,0.6479592,117.857846,-0.291068,-0.0808021,-0.0595887,61.428,-1.648466,10500.3956159637,70.31991341,149.7054472,64.56912253
"34","CIV",2020,"Côte d'Ivoire ","Africa",139,0.4457,0.4048,0.4529,0.3808,-0.3273421,"Cote d'Ivoire",NA,-0.5265628,NA,-0.4806498,152.0010217,-0.9764128,-0.2758446,-0.5994768,51.706,-0.4831634,2325.72370502247,55.60895683,82.95055031,36.28895457
"35","CMR",2020,"Cameroon ","Africa",144,0.4325,0.4167,0.4706,0.5971,-0.2952833,"Cameroon",NA,-1.131269,NA,-0.8831259,95.10006889,-1.527164,-0.8171073,-1.146446,57.56,-1.214586,1499.37284272297,55.21991129,56.15676419,33.5
"36","COD",2020,"Democratic Republic of the Congo ","Africa",184,0.258,0.2024,0.1294,0.5303,-0.1035511,"Congo, Dem. Rep.",NA,-1.572393,NA,-1.692743,45.55354721,-1.708182,-1.540846,-1.79057,45.638,-1.281867,556.813185299175,51.18613986,39.50570301,12.5
"37","COG",2020,"Congo ","Africa",160,0.3786,0.2738,0.3176,0.5822,-0.2427292,"Congo, Rep.",NA,-1.403427,NA,-1.434841,NA,-0.8958732,-1.431044,-1.160379,67.829,-1.290345,1972.54524619093,55.96698638,16.15839531,NA
"38","COL",2020,"Colombia ","Americas",67,0.7164,0.869,0.7647,0.7723,-0.344386,"Colombia",NA,-0.181955,NA,0.0402886,132.9967081,-0.6735995,0.3171094,-0.4912356,81.425,0.1492503,5332.77352412685,68.75586727,45.86109419,65.00690072
"39","COM",2020,"Comoros ","Africa",177,0.2799,0.119,0.1235,0.4652,-0.165593582298549,"Comoros",NA,-1.19349,NA,-1.593477,54.37148761,-0.2917943,-1.178481,-1.199232,29.38,-0.7638819,1402.59548928279,57.87435847,467.2729715,NA
"40","CPV",2020,"Cabo Verde ","Africa",110,0.5604,0.4167,0.5,0.6337,-0.154503839887493,"Cabo Verde",NA,0.8279572,NA,0.2471965,97.97513251,0.8807942,-0.0660532,0.4879067,66.652,0.917582,3064.27238842819,67.13268476,137.9622829,61.94339776
"41","CRI",2020,"Costa Rica ","Americas",56,0.7576,0.6548,0.6824,0.8428,-0.2352041,"Costa Rica",NA,0.7761228,NA,0.3622126,147.4714563,0.7615439,0.4498657,0.5699124,80.771,1.143007,12076.8145138494,68.9188786,99.76721504,81.20259644
"42","CUB",2020,"Cuba ","Americas",140,0.4439,0.3571,0.2588,0.8215,0.4209811,"Cuba",NA,-0.1267346,NA,-0.1677658,58.81512183,0.5962209,-1.504454,-0.2780778,77.194,-1.419531,NA,68.18586416,109.1196146,67.97080866
"43","CYP",2020,"Cyprus ","Asia",18,0.8731,0.9524,0.8706,0.8429,0.3423789,"Cyprus",NA,0.3778925,NA,0.8832101,138.593018,0.2918284,1.002475,0.580854,66.821,0.9070898,26623.8008913181,69.01402151,130.6667749,86.06362996
"44","CZE",2020,"Czech Republic ","Europe",39,0.8135,0.7262,0.7235,0.903,0.5555282,"Czech Republic",NA,0.5850472,NA,0.957015,121.3873944,0.9244586,1.241209,1.059881,74.061,0.9812194,22762.1971366777,64.10145839,138.5867358,80.86694441
"45","DEU",2020,"Germany ","Europe",25,0.8524,0.75,0.7353,0.9362,1.09847614187685,"Germany",NA,1.858251,NA,1.360798,128.3062093,0.6710114,1.582715,1.557932,77.453,1.377576,45723.6441039328,64.35695518,238.252118,88.13451691
"46","DJI",2020,"Djibouti ","Africa",179,0.2728,0.2143,0.2235,0.3418,-0.5145621,"Djibouti",NA,-0.7413479,NA,-0.6767254,43.93066802,-0.3183765,-0.8114574,-1.011851,78.062,-1.420494,3425.50345047077,66.3812753,42.6230371,59
"47","DMA",2020,"Dominica ","Americas",99,0.6013,0.3571,0.4471,0.6698,NA,"Dominica",NA,0.5562857,NA,-0.1795864,NA,1.346246,0.1959981,0.7405058,71.09,0.878063,6526.79321540707,NA,95.988,NA
"48","DNK",2020,"Denmark ","Europe",1,0.9758,0.9643,0.9706,0.9588,0.9708404,"Denmark",NA,2.270462,NA,1.890869,123.3403635,0.9430326,1.790884,1.858852,88.116,1.520361,60908.8351349442,63.55427521,145.7851,98.04643475
"49","DOM",2020,"Dominican Republic ","Americas",82,0.6782,0.7738,0.7647,0.7419,-0.2412032,"Dominican Republic",NA,-0.6808228,NA,-0.3307422,82.86929925,0.1674334,-0.0137688,-0.2641793,82.54,0.2215259,7268.1969096591,65.03296027,224.5477955,75.8
"50","DZA",2020,"Algeria ","Africa",120,0.5173,0.1548,0.2765,0.6966,-0.4721365,"Algeria",NA,-0.6418455,NA,-0.5258437,103.8873168,-0.8601653,-1.291494,-0.7803177,73.733,-1.102139,3310.38653352368,62.47355707,18.41133986,57.5
"51","ECU",2020,"Ecuador ","Americas",74,0.7015,0.7976,0.8118,0.7793,-0.5983472,"Ecuador",NA,-0.5359893,NA,-0.4388475,87.77032593,-0.3646331,-0.8860091,-0.5481316,64.166,0.0167155,5600.38961495341,65.01698062,71.03825093,NA
"52","EGY",2020,"Egypt ","Africa",111,0.5527,0.5119,0.5706,0.6192,-0.483179110256527,"Egypt, Arab Rep.",NA,-0.8136714,NA,-0.545122,93.1821785,-1.207361,-0.6885961,-0.3598008,42.783,-1.488731,3547.87084813809,60.74729277,102.8021528,57.2828664
"53","ERI",2020,"Eritrea ","Africa",192,0.1292,0,0.0118,0.3759,-0.640795386650725,"Eritrea",NA,-1.326432,NA,-1.616785,NA,-0.9844248,-2.335106,-1.47162,NA,-2.076875,NA,54.36855918,35.11313861,NA
